,cod_modelo_color,cod_color_code,des_agrup_color_eng,des_fabric,des_product_category,des_product_type,des_filename,des_product_family
0,41085800-02,2.0,WHITE,P-PLANA,Bottoms,Trousers,2019_41085800_02.jpg,Trousers
1,53000586-TO,53.825949367088604,BLUE,J-JEANS,Bottoms,Jeans,2019_53000586_TO.jpg,Jeans
2,53030601-81,81.0,PINK,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_53030601_81.jpg,Dresses
3,53050730-15,15.0,YELLOW,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_53050730_15.jpg,Dresses
4,53070773-70,70.0,RED,P-PLANA,Tops,Shirt,2019_53070773_70.jpg,Shirt
5,53003736-94,94.0,GREY,T-TRICOT,Tops,Sweater,2019_53003736_94.jpg,Sweater
6,53045718-17,17.0,YELLOW,T-TRICOT,Tops,Sweater,2019_53045718_17.jpg,Sweater
7,53050926-37,37.0,BROWN,P-PLANA,Bottoms,Skirt,2019_53050926_37.jpg,Skirts
8,53085736-96,96.0,GREY,T-TRICOT,Tops,Sweater,2019_53085736_96.jpg,Sweater
9,53015770-02,2.0,WHITE,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_53015770_02.jpg,Dresses
10,57007891-05,5.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Earrings,2019_57007891_05.jpg,Jewellery
11,57064001-02,2.0,WHITE,J-JEANS,Bottoms,Jeans,2019_57064001_02.jpg,Jeans
12,57067700-74,74.0,RED,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_57067700_74.jpg,Dresses
13,47086303-08,8.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Totes bag,2023_47086303_08.jpg,Bags
14,57040032-32,32.0,BROWN,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Sunglasses,2023_57040032_32.jpg,Glasses
15,57040164-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Card holder,2023_57040164_99.jpg,Wallets & cases
16,57020260-83,83.0,PINK,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Wallet,2023_57020260_83.jpg,Wallets & cases
17,57050281-TM,53.825949367088604,BLUE,J-JEANS,Bottoms,Shorts,2023_57050281_TM.jpg,Shorts
18,57062516-99,99.0,GREY,T-TRICOT,Tops,Top,2023_57062516_99.jpg,Tops
19,57012888-12,12.0,YELLOW,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dress,2023_57012888_12.jpg,Dresses
20,57084018-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Belt,2023_57084018_99.jpg,Belts and Ties
21,57085800-01,1.0,WHITE,P-PLANA,Tops,Shirt,2023_57085800_01.jpg,Shirt
22,57004787-07,7.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Crossbody bag,2023_57004787_07.jpg,Bags
23,57083821-99,99.0,GREY,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dress,2023_57083821_99.jpg,Dresses
24,57049096-65,65.0,PURPLE,P-PLANA,"Dresses, jumpsuits and Complete set",Jumpsuit,2023_57049096_65.jpg,Jumpsuit
25,57099098-05,5.0,WHITE,T-TRICOT,Tops,Top,2023_57099098_05.jpg,Tops
26,57067753-TO,53.825949367088604,BLUE,J-JEANS,Outerwear,Jacket,2023_57067753_TO.jpg,Jackets
27,57079104-37,37.0,BROWN,K-CIRCULAR,"Dresses, jumpsuits and Complete set",Dress,2023_57079104_37.jpg,Dresses
28,57057741-30,30.0,BROWN,L-PIEL,Outerwear,Coat,2023_57057741_30.jpg,Coats
29,43031153-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Belt,2019_43031153_99.jpg,Belts and Ties
30,53070567-02,2.0,WHITE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Sandals,2019_53070567_02.jpg,Footwear
31,53060575-52,52.0,BLUE,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Kerchief,2019_53060575_52.jpg,"Hats, scarves and gloves"
32,53050579-99,99.0,GREY,C-COMPLEMENTOS,"Accesories, Swim and Intimate",Shoes,2019_53050579_99.jpg,Footwear
33,53030593-52,52.0,BLUE,P-PLANA,Tops,Blouse,2019_53030593_52.jpg,Shirt
34,53030547-05,5.0,WHITE,J-JEANS,Bottoms,Shorts,2019_53030547_05.jpg,Shorts
35,51030638-45,45.0,GREEN,K-CIRCULAR,Tops,T-Shirt,2019_51030638_45.jpg,T-shirt
36,53040741-56,56.0,BLUE,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_53040741_56.jpg,Dresses
37,53073709-99,99.0,GREY,P-PLANA,Outerwear,Blazer,2019_53073709_99.jpg,Blazers
38,53080599-37,37.0,BROWN,P-PLANA,Bottoms,Trousers,2019_53080599_37.jpg,Trousers
39,53003725-99,99.0,GREY,T-TRICOT,Tops,Sweater,2019_53003725_99.jpg,Sweater
40,53053040-99,99.0,GREY,K-CIRCULAR,Tops,T-Shirt,2019_53053040_99.jpg,T-shirt
41,53090974-02,2.0,WHITE,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_53090974_02.jpg,Dresses
42,53060987-02,2.0,WHITE,T-TRICOT,Tops,Top,2019_53060987_02.jpg,Tops
43,53063750-01,1.0,WHITE,P-PLANA,Tops,Blouse,2019_53063750_01.jpg,Shirt
44,53063755-TU,98.00999200639488,GREY,J-JEANS,Bottoms,Jeans,2019_53063755_TU.jpg,Jeans
45,53015744-09,9.0,WHITE,T-TRICOT,Tops,Sweater,2019_53015744_09.jpg,Sweater
46,51015740-02,2.0,WHITE,P-PLANA,Tops,Shirt,2019_51015740_02.jpg,Shirt
47,53085778-99,99.0,GREY,P-PLANA,"Dresses, jumpsuits and Complete set",Dress,2019_53085778_99.jpg,Dresses
48,53005773-96,96.0,GREY,T-TRICOT,Tops,Sweater,2019_53005773_96.jpg,Sweater
49,57097878-43,43.0,GREEN,P-PLANA,Tops,Blouse,2019_57097878_43.jpg,Shirt
50,57019206-81,81.0,PINK,T-TRICOT,Tops,Sweater,2019_57019206_81.jpg,Sweater
