community_id,cod_modelo_color
0,47067108-88
0,47064003-88
0,57040030-88
0,47029028-88
1,57010632-52
1,57010083-70
1,57077725-99
1,57040259-05
1,57022878-TU
1,57000256-88
1,57093805-99
1,57030011-08
1,57050113-02
1,57045806-56
1,57050281-TM
1,57001059-70
1,47074023-01
1,47005949-99
1,57010255-43
1,57092504-30
1,47079202-65
1,57001142-02
1,57010255-01
1,57020113-15
1,57030032-08
1,57050284-43
1,47003774-TN
1,57021176-37
1,57040071-08
1,47054003-01
1,57040461-21
1,57040267-30
1,47007877-01
1,57040302-99
1,57030008-26
1,57040042-PL
1,47077106-06
1,47037841-52
1,47095870-02
1,57000003-88
1,57012888-12
1,47037119-05
1,47065933-02
1,47024004-99
1,47061508-99
1,57055805-20
1,47058646-52
1,57040718-09
1,57040284-45
1,47027877-99
1,57083811-99
1,57094007-99
1,57050323-05
1,57072505-99
1,57040317-20
1,47024419-31
1,57094389-77
1,57040165-68
1,57050475-01
1,57050273-43
1,57030329-87
1,57020113-30
1,57010006-CU
1,57000164-81
1,47027105-37
1,57010088-30
1,57010632-05
1,57022888-05
1,57040027-52
1,57020462-20
1,47034025-OR
1,57000153-BL
1,57000258-52
1,57050489-99
1,47055942-OR
1,47075947-07
1,47078649-TM
1,47005854-79
1,37027713-02
1,47047844-PL
1,47027108-06
1,57000262-43
1,57040359-01
1,57080490-08
1,57050304-01
1,57024008-99
1,47025869-30
1,57050306-02
1,57040591-32
1,47094023-PL
1,57010723-87
1,37000577-10
1,57020217-99
1,57050079-40
1,47004002-99
1,47015919-92
1,57050153-52
1,47003773-01
1,57082509-99
1,57000227-20
1,57010770-52
1,47075969-01
1,47037825-CU
1,57002886-88
1,47044016-01
1,47005920-99
1,57001083-37
1,57030034-08
1,57030250-20
1,57040388-02
1,47002507-30
1,57050298-15
1,57040266-52
1,47039045-02
1,57040301-43
1,47077105-50
1,47005582-99
1,57074010-TC
1,57010770-15
1,57040171-99
1,47003279-TC
1,47077127-43
1,57000316-37
1,57030030-85
1,57050464-52
1,57040454-81
1,57093800-95
1,47002528-OR
1,57012895-99
1,57042515-99
1,57020151-07
1,57000002-85
1,57052506-91
1,47075944-88
1,57010590-26
1,57040047-OR
1,57020452-05
1,47005861-OR
1,57000158-56
1,47039050-88
1,57001057-70
1,47000157-TN
1,57000258-44
1,57086307-56
1,47045840-01
1,57054402-85
1,57010726-88
1,47047832-99
1,57050262-20
1,57040299-43
1,57050167-TM
1,57071167-05
1,47037132-85
1,57020087-20
1,57032511-99
1,47003777-DC
1,47008636-50
1,57050111-PL
1,47068639-01
1,57053796-99
1,57031151-01
1,57010760-99
1,57030251-02
1,47075965-80
1,47009012-20
1,47078644-01
1,57040579-32
1,57050480-02
1,57035789-76
1,47055852-99
1,47005939-99
1,57010643-88
1,47039039-20
1,57032514-80
1,57012894-05
1,47068644-99
1,47067818-01
1,37010684-CU
1,57050114-30
1,57001115-85
1,57020243-52
1,57054396-07
1,57006016-OR
1,57010006-99
1,47027836-OR
1,57040323-52
1,47074426-PL
1,47036304-08
1,57030031-99
1,47076314-PL
1,57000340-TN
1,57033805-99
1,47028650-TN
1,57010317-01
1,57001094-01
1,57040271-99
1,47076709-99
1,57030009-09
1,57043802-99
1,57023807-07
1,47005929-OR
1,57001013-05
1,47067110-OR
1,47073254-99
1,57050078-99
1,47015850-OR
1,57020012-87
1,57000374-02
1,47055882-99
1,57072503-99
1,57010038-99
1,57032881-84
1,47035961-99
1,57001106-01
1,57050485-08
1,47094760-OR
1,47087105-99
1,57020040-TN
1,57072879-02
1,57040079-08
1,57010034-85
1,47045866-08
1,57001099-01
1,57040722-36
1,57030039-PL
1,47093771-TM
1,47048631-99
1,47067828-99
1,57050301-12
1,57032003-99
1,47048647-02
1,57010764-99
1,47067661-08
1,47085844-02
1,57010261-45
1,47035872-TM
1,47098638-TO
1,57010159-08
1,57020252-99
1,57082895-02
1,47048630-02
1,57010263-01
1,57050229-50
1,47047832-08
1,57001126-02
1,47008653-88
1,47084027-TO
1,47097821-02
1,57082510-50
1,57040172-99
1,47012503-OR
1,57081166-88
1,57040690-36
1,47015851-OR
1,57030134-99
1,47097817-99
1,47001037-99
1,47047132-85
1,57040812-16
1,47021277-99
1,47046320-32
1,57040358-01
1,47056715-PL
1,57020256-05
1,47095651-02
1,57000166-02
1,57040319-61
1,57000244-01
1,57040036-01
1,57062505-99
1,47008257-05
1,57010620-40
1,47015855-OR
1,57032880-05
1,57064388-99
1,47047834-81
1,57041171-12
1,57040077-02
1,57031169-01
1,47057843-PL
1,57064388-16
1,57050179-99
1,47014765-99
1,47067116-05
1,47025953-32
1,57052893-52
1,57062506-99
1,57050010-02
1,57030036-65
1,47014025-OR
1,57032001-17
1,57000374-88
1,47027884-09
1,57001067-15
1,57050145-08
1,47005947-99
1,57040255-99
1,57040495-80
1,47005869-50
1,57040326-52
1,47024028-OR
1,57040169-TN
1,57010951-99
1,57050081-52
1,57030103-OR
1,57052001-17
1,47005859-OR
1,57040032-32
1,57050049-OR
1,47045866-99
1,57040699-30
1,47035841-01
1,47037840-52
1,57040153-52
1,47075951-OR
1,47067882-08
1,57001065-56
1,47017879-07
1,57053276-08
1,47040788-99
1,47034427-PL
1,57010632-56
1,47057826-40
1,57091169-85
1,47075913-09
1,57001061-56
1,57029404-85
1,57040105-06
1,57040158-88
1,57050486-02
1,47001041-10
1,57050087-52
1,57062514-05
1,57050302-07
1,57033796-65
1,57040170-88
1,47084435-99
1,57040289-TM
1,57032887-30
1,57050700-87
1,57010736-87
1,47052524-08
1,57040730-88
1,47047120-TC
1,47010414-PL
1,57010285-02
1,57093799-37
1,57010763-05
1,57050045-OR
1,57050489-88
1,47068256-01
1,57000352-85
1,57040323-70
1,47034428-PL
1,47045860-05
1,57043806-69
1,57044008-05
1,47005856-OR
1,57044015-08
1,57062001-05
1,57012895-52
1,57050303-01
1,57030038-TM
1,57010260-09
1,47002531-OR
1,47069203-02
1,47005936-TC
1,47076304-01
1,57032890-02
1,57010279-88
1,57001007-28
1,47050101-99
1,57002891-05
1,57062002-81
1,57050213-87
1,47067656-43
1,57021026-02
1,57020115-PL
1,47084004-99
1,57050164-99
1,47094760-PL
1,47077130-05
1,47035869-OR
1,57030040-14
1,47085881-TN
1,57002898-TC
1,47075849-32
1,57050457-21
1,57090025-99
1,57020043-52
1,47078257-30
